2026-07-03T12:00:07Z WARN  cache miss key=payment:pay_42098
2026-07-03T12:09:10Z INFO  request completed method=GET path=/api/payments/health status=200 latency_ms=116
2026-07-03T12:09:13Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:09:15Z INFO  request completed method=GET path=/api/payments/health status=200 latency_ms=124
2026-07-03T12:09:23Z INFO  cache hit key=payment:pay_88047
2026-07-03T12:09:27Z INFO  db query executed query=select_payment duration_ms=164
2026-07-03T12:09:32Z INFO  cache hit key=payment:pay_30861
2026-07-03T12:09:39Z INFO  db query executed query=select_payment duration_ms=74
2026-07-03T12:09:47Z INFO  cache hit key=payment:pay_92149
2026-07-03T12:09:50Z INFO  request completed method=GET path=/api/payments/health status=200 latency_ms=81
2026-07-03T12:09:54Z INFO  cache hit key=payment:pay_28136
2026-07-03T12:09:57Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:09:59Z INFO  request completed method=GET path=/api/payments/pay_71069/status status=200 latency_ms=146
2026-07-03T12:10:04Z WARN  retrying upstream call provider=stripe attempt=2
2026-07-03T12:10:11Z WARN  cache miss key=payment:pay_72518
2026-07-03T12:10:13Z INFO  request completed method=GET path=/api/payments/pay_64921/status status=200 latency_ms=107
2026-07-03T12:10:19Z INFO  cache hit key=payment:pay_38906
2026-07-03T12:10:24Z INFO  db query executed query=select_payment duration_ms=132
2026-07-03T12:10:29Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:10:37Z INFO  request completed method=POST path=/api/payments/charge status=200 latency_ms=167
2026-07-03T12:10:39Z INFO  cache hit key=payment:pay_96900
2026-07-03T12:10:41Z WARN  retrying upstream call provider=stripe attempt=2
2026-07-03T12:10:44Z WARN  retrying upstream call provider=stripe attempt=2
2026-07-03T12:10:49Z INFO  db query executed query=select_payment duration_ms=79
2026-07-03T12:10:53Z INFO  db query executed query=select_payment duration_ms=12
2026-07-03T12:10:55Z INFO  request completed method=GET path=/api/payments/pay_95215/status status=200 latency_ms=65
2026-07-03T12:10:57Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:11:00Z INFO  request completed method=GET path=/api/payments/health status=200 latency_ms=167
2026-07-03T12:11:03Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:11:06Z INFO  request completed method=GET path=/api/payments/pay_31992/status status=200 latency_ms=102
2026-07-03T12:11:12Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:11:16Z WARN  slow query detected query=select_payment duration_ms=87
2026-07-03T12:11:23Z INFO  db query executed query=select_payment duration_ms=109
2026-07-03T12:11:25Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:11:32Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:11:46Z INFO  deploy completed service=payments-service version=v2.4.1 strategy=rolling
2026-07-03T12:11:49Z INFO  new pods scheduled replicas=3 image=payments-service:v2.4.1
2026-07-03T12:11:59Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:12:09Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:12:19Z INFO  db query executed query=select_payment duration_ms=11
2026-07-03T12:12:25Z INFO  webhook dispatched provider=stripe event=charge.succeeded
2026-07-03T12:12:37Z INFO  request completed method=POST path=/api/payments/charge status=200 latency_ms=47
2026-07-03T12:12:50Z INFO  cache hit key=payment:pay_45400
2026-07-03T12:15:20Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:15:24Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:15:29Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:15:32Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:15:33Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:15:37Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:15:41Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:15:46Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:15:49Z ERROR connection refused: postgres://payments-db:5432
2026-07-03T12:15:53Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:15:55Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:15:57Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:16:00Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:16:03Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:16:06Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:16:07Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:16:09Z ERROR connection refused: postgres://payments-db:5432
2026-07-03T12:16:11Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:16:15Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:16:17Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:16:21Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:16:22Z ERROR connection refused: postgres://payments-db:5432
2026-07-03T12:16:25Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:16:29Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:16:32Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:16:35Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:16:40Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:16:43Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:16:48Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:16:51Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:16:54Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:16:57Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:16:58Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:17:01Z ERROR connection refused: postgres://payments-db:5432
2026-07-03T12:17:06Z ERROR failed to acquire db connection pool_size=10 in_use=10
2026-07-03T12:17:09Z FATAL panic: unrecoverable db outage, initiating pod restart
2026-07-03T12:17:11Z INFO  pod terminating reason=liveness_probe_failed
2026-07-03T12:17:17Z ERROR request failed method=POST path=/api/payments/charge status=503 error="db unavailable"
2026-07-03T12:17:24Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:17:31Z ERROR connection refused: postgres://payments-db:5432
2026-07-03T12:17:37Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:17:43Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:17:48Z WARN  db connection pool exhausted, queuing request
2026-07-03T12:17:51Z FATAL failed to acquire db connection after 3 retries
2026-07-03T12:17:56Z WARN  db connection pool exhausted, queuing request
